lexeme_id,cluster
57408f89412af98111a2f87c0ab41b22,114
8414835cb39e4315146a59fefdd6d1c6,68
ecc3feb8e53ce936cef181dd54e7aaca,68
8d28ba0fa188f1847571467189846dda,115
4b3613233b3fede2e3e92ac2ef752bf6,206
2e327d99285380dc37273580705b9f85,17
213ad43df9831b7b21ca1d7d79f5d107,91
41db134d8af1c0610b0d926d8a53d01a,115
6e820e73c9936c1c90e20a174f3dd1ad,167
38ec3b04540c300424b556dee6e5dbe5,167
6e39fa977508d7c2e5990cfddc80b2f7,141
b70b44f07b89cc7c5ac2626029a8952a,167
5377c84560aaf45988067be11302d1d8,167
9efffbcb52dac1660ecdbf050ec6dfc6,168
540d7477d35047a1282a4075b9fbbc6e,80
3bd5d714e2fd898a573a4d1ae48b2791,195
5f3b7836361ebde92d6be000e1a5edf7,-1
c51c3de41e1738fef6233bae874f327b,168
eca9cad5e0a5d96f5db19271e2e3e122,220
1fc183ee42e2f440f7ca318fc6c46e63,56
3a898602c268f23d8acbeadacc9138be,148
ea04a57b119113b097e3f4e1d4b8b7c1,175
5ed55ec92cea6a460d958312209ea9f2,168
2d31fcb7e3781d53d073d32874dcb5f4,59
2cedf47e09d69a11efbcdc6e6a59a3c6,25
3b90f64dfa33918b221e0aabd249dc75,119
e44f3f20553dc6b97334e3c7cc574ced,69
e07321c588bfe75e4d09b4628517218a,19
e4a988b72c4445744c5f45dc888f16dc,101
826a902bc42b3ac85918087164174ab0,119
753395dc03c63fbacfe2dded20751702,89
a650b5f58f811a5360c1c94772525a83,8
bc8e6758352ebb324f21a18adba222f7,212
b17ed5a2515440edd4b4feb6961e8557,107
3d7ff837a6a0639fd75e4ed92fdb9eb1,-1
2ac0aad463cf10c1f359f1678c1f38f2,161
2a589f70964d7ee8bf335eaed69cbc2e,156
e2d83347907f044f78e08aa3c2e3fa9d,156
a41105356f326ae1a5d1d499f798d4e4,160
70e79ed0b304a22a9b51cc3f26c36d73,115
43b3d7f98b6c73ee14a566a0300171a6,107
ed6bd235cb1420baeb7c4e73a6b4ad86,25
5e580dce57b5b52541e4d9a865fb2a36,127
26133676f75f829992c823dd7402f9a3,17
17f747437aee974b58f0d8175fa700db,146
a2c4248af2741dd931b8f0364754a721,-1
c7915410a9cff730ffe8e8d56a78df22,91
7493f076a0cb57815f03748aee58a64c,3
5fc16736d9679de18b8293507d707bb1,196
9c55d3d02ef15b5dcf90a69286a6dab0,179
04f05b85448352c4f4175d93fb3e6470,147
7ab5ef9586b79b2079fcce99fadd811f,146
6909099fef4f7d71147846595b6facea,220
630b709686520fc4f0d0e6077df220c3,4
b909b9ba214e56b5ba25c369d05ecd80,146
8dd2ccac29c7cf0cf88bfd09945ab590,146
780e6eb95a307b053141272d9cf55fd4,2
8a98793d6368aded8136b881ade78583,156
c2c4b64d5eefd5ab7d457ea5c27a25a1,164
4ec88176006caeb30dd0de7d92cebcc7,2
49e041609d5dd962692974eab8ed8ddf,164
0e00664dabefa7e5a6ccecd2f3f9e3e5,52
0dd6934ef0f42a5151850fa8ca018c2c,34
bd9c03619890797852d573b6f877743a,25
52a4409bf910e2a2f7853da394b83004,173
9d0463c69bfb79802d324c5539ae08e8,25
b2e1f3421eb5216ac144a5714dbf7d6b,30
1010015bf0b58409c546d69b2950090f,52
21ce5774cae4000b8fffa8a9917bb229,54
5c78508ce067141ece629e4043bf03a3,213
6c558ba7b5eec26c7f55610733117e83,115
66de7b08cfb201e34d0ddadc60c28c70,102
3aeb8555dfa1b94544ef62d56869b1d9,95
ba634cde4013c8ff4eee5892e92b3e5b,34
d4eecddf0f9a3f29378d9a0177141ed4,143
8ccaddfe9f496a21bbca378d69e54a26,177
53f6cd24a2dcbd2b874ae9ec36002fb6,123
001635bcb24496cf2b27731c3708dbfa,146
c214fbc04cd7de1edeb086373ccfa292,108
c0b768d612662c62b393a168ed09f19d,-1
9f7be4b0cad89e3453afab7e5159f9e5,114
14bdb1c3d7e33b16ae243b1b7c38ab36,164
04cf81e128cb8af72084c74d285d161e,-1
cda965dd044bc55ac5741dfc71cd64b4,161
7d73e4cc0e9b592b39a96849a806ba47,114
964918b64d9d9e8abda62b08e5293da9,106
4937fee957d27374da32a2c89498b1fc,109
61390f111c3899a0f38c0b2e586d241b,159
3bec47586502ca744c2f2928f4c29143,160
2f3f88cef849e6a148c1880373e98627,156
7e000a06e3dca93cb4354798da6a7ab8,179
14555e6831edb6baab9a39991fc68a19,69
99cebc64d09034216ee6c3fe786eeb85,22
76ca65eb1acfd10a5401dbfd549efa22,123
3046c4e0d8b30be3785fe250b2a339e1,-1
5a10a9ab9b11f8faefe13c32fe55fa95,161
282dc399cdee4908358bc58a02cf36ce,164
38e25ada70b5c3b8d7dedf4e5d0625fe,-1
826245ea3f47e631e00d4009aa7a57c7,2
0d4b9ed7df56ee57b0804160a4dd4672,3
69fdb2b105eff102b3dc8d3b3f3e1e62,90
fd840152e853feb97f262513fe399e81,123
52d634d0d04cdebc4265d5f9c2f1d78e,160
cb2125848602cd4d35397caf86af9cd8,159
3252eb10cf07c7beda2d1eeaf94f1e8d,2
2e0da84f572ec90e7a603443e778c658,159
11596d937b214beff5a6fec0a37a8ecc,-1
8d7de359f302e3faa2943de5cf671dfe,109
c32c890a3fbf84c25e79d9a4b4fede99,107
494d3bd42e8428759b7cd164d881b1f0,221
0d1acf611569b2b7473b065b31c36705,30
483de4327dd9810b6f5d77047ba3ad28,219
fddd4a7a3ceafae1dee1e2b6b3c45a0e,76
f87b5b5589ac8a4a89d52553e87e13bd,76
a3b3233a1c4f639723e92e153188341b,56
e07077f9a1dac16b8ecf913c7bc2cff9,177
e27d0a2f25f304e6dc9cdc3f1379a023,10
1c15e15370fec89ef467a27c6dfda560,-1
2bb7d1afc6f32c9dcf801a53fd29275c,22
b32604a548b62404d40b22e9ac6eedcc,73
9362e1db4348ecac302f8bf6de132d7c,130
4a8daf5e0d26bec2fb34d329012fdb15,115
b35356998f325e1c237464b2bada2ce1,176
b64fcf42157895546d3f48b062414184,213
97536dcf947504b01ae1261c2475da1c,115
8f39c1217e8e40a60baac6a5a5a1348a,115
0b2e8ac77d30fa3618d3fa68a99df48b,34
eb14fcc2e595e8848ffa09fd647c55d5,122
f832d02824c60ba7de3a6c7b9fea39bc,-1
315b7e86878d0100a128d82405040ba1,116
7b7db8a793b99e981f5431dbc20dabe0,204
3cf310555b08d6530d92bc39e3793f8c,102
a8c48485c5f03adc4f8b5d1f7dea4372,107
d7f196406588a9763567fda6a2e7b396,107
8030edca8e2e23707ba470ecf8ab283e,107
afcb0785116e603e09dc46ceed0be5ce,119
e82fa7904e0027596d88bcfc652415d7,119
4d4f0ecc3c25350f7c988e8b4eb1956d,159
9f066b7f627d88aefd887bc067f4ba26,147
25243b9871667b5a73891ef25d25b352,177
784042a9bc442c50b735fcb81859dc18,2
c13c884cc6d660f19c988b96222982f9,159
899be018a5e3defdcbf5f728a54c529b,149
460557b60caed60924e0191342faced6,102
5d219cf750f8649347778329d8120469,160
4a93acdbafaa061fd69226cf686d7a2b,164
1715af4eb439a9d3c24ce4899f628d13,149
df4c239e57075ba1fe396e239c068811,157
4b3df2ebedd7644b3150c27e42487633,147
25ca54f8ef38af433312b0245e259f65,26
9283e507857ff74aa2bd27b45529ec7f,26
5ea3ff23231e0f0e5d7fc4d5bdc5b954,26
6b80d816698b0e53db2e1412761eb45d,101
6c4b6cb8dc7b3376d0357fdea4ffa8ff,114
7e42f7dece8964713da3a3d797d672b9,34
2b4b2568171ac6cb9b586f5d3a7d04fd,107
c246f3dd7d96f167fe12a3f142b00e56,34
e978b7905c93d55e1f1ab51e8f60340c,163
1f14196797e0976a14eba47e4e1585eb,164
eae19eb5946003fac4c6ec055bfae90c,-1
2d7186ed326d908261d77e128d94da90,22
72a099e2e79bcb8593c3754a9e34b570,28
5b84848dbdebe7922cc87d7939b9a0f3,207
26a160cb6964b488e182bb2cc9a1bf91,-1
cbdab85bc61592bf4279db56ff35a695,149
0db9e3b501108f13924dfacff858f7f2,123
6b6eb18b36896344877e52826eac0d33,8
d8686386d3b9dd78e3e13beb462313e4,218
6baabb50722a990d38b5221c48b16683,191
bc44438d32f363a7c61700ff2361ad1c,162
97fbe1b6a32ea9fa6a9c1862acbde7c3,3
5f5302712fc288cc75a4f27771b4ea2b,91
69b9dd02029bb8b66d2305fd9c9b852f,-1
93df585e7fd29cbef91c94611710ca66,114
fb2420de60dade031cc534c3cf969189,30
b42529e73562bb4df8c97242f3e67df0,-1
ddd42e3b18fa7e58a3b71b8ac0da3bb5,184
4d99f16b4bdd8cd0a8f5d962301a5be8,114
955c040cc84408f9e687f99d4778b03b,91
ae28bc4c0c21361b5d7ffee94982eefa,114
295086f6fa46c6554244540114f8aa71,52
a5f6abc4f50522b0cc89baa4bf7d2b14,139
4659ea475c0c2203d103e1729ad4a44c,161
f1fdc5676a599c6a5a8974efba5c3620,8
90883f2302040ad4a56b227b6725e73c,30
4310561cd354b6cad1569d35856823f0,2
e5d3bfdec147ebc1409b450819bccade,106
9f6a2032d44ce0bc28936f7a8086b265,-1
bdbe8b856ed8b1837f3fcb8b9fd85ad9,86
b6644a8de8f519e0291124c1a41648e7,143
67c5a8448a14add63f3e0f43728610ff,86
ff6458211b1a54ab439194192b8a3a85,47
5c285c9927c59e6d7805e0838f521b5a,95
0f2bda0e0fb7b053496a4c9402800bf3,216
1bae372260043b1806d23b8e632af97e,41
f304d50a3fc192a72d36796bf24dad3c,33
8a1b54674a3109c801f6c105e06d57cb,19
c3784e467a27f12087421353e4977b8e,35
f323cca59896ce3d9617ce8f7542c0d9,16
60dac08980bed7ea80ec5ea1a738952c,203
5df60a55b03cb5542c59fad9d4d77737,15
a07ffcbe73dc40ab8882f3ebd0588268,161
46e1ef919491760501522dac4827bbcf,123
edc0b04906d09cf9d4048dc04f41d7db,115
3c03900a9a6992a1ae0f084d9f6d6750,115
0921c5c61b8a52224dbc38357232cb18,17
5378fee9d18dc3f1849d366858ea874a,167
835a343b5a72ee22f1cc94f0d2f535bc,17
dcb9d0aac819c29217413034ff3c5304,111
49bd26b62371287a59153771151dc6fe,17
6f42dc67e7fc4ba7cac0b5805ce3638e,17
112c791cad6be75b95cfc1881a51ebeb,17
da9f80d6d412330e03290fb232dd8cda,17
883318b2654c62f7e20b6eed4c741464,17
de354976e60d34f0730b5686b509a5b8,17
c737cc0b147be53c8bcd474c577cb9da,17
b038ebcc7806444f5aad9b854fb2e2b8,61
7f6750ab1165c174c255f4bf7d968c91,2
0c96d7d7925a34668c694c5955091879,111
0c6126fc0a56d6147ac13d4ae702b364,182
4cfd18405d0e53f93182bd81ca5a334d,72
212155524ef941ee0288197b0dff0582,46
02d36c831d2f91d94fdbbc71e56f7a1e,199
714fe10cd779bebd9e85e2aa1c622cbf,146
bbc8e167936b1c537d5bd6fb2a73f01f,146
2e7f76af5fc65d9c3f981eab805376d5,166
a4e47729820764c527e33fae2a8f904f,-1
6225e9e71cd796208f0904e57e0afdf2,146
8353a4566d918db85cc69f229bd1177e,146
4ec86dba8dfaa38b2be1413d54418651,147
c042fef9ce16f46fadaac4e9f8c57192,156
82f0fcdb8d8593de235fcb20f455458c,-1
1c79cbc2689f0c0125d385904ca3cfc8,171
828d8dd7d2c7fd19c7cd0152e6583b79,196
646eacbdadabb6c714fef0b2aeb40f6c,146
4406f1c64403562eb84df43d2aff4a4a,146
cf1858f99b3f31b59ecc1020e3dbc9b7,147
e05b98ba357e8fda8ce695b6319cd484,-1
09cd6338773c2b99587b336a6141b185,-1
4cfa25a82a1a07979b6bf3d73f4426d4,146
2de03712180767ee849f3ac42288dda4,107
6c767e40f11a75a724aad8978ad1c31f,26
6dad8bb3bde808fd9bf6f64eb1fe9601,26
fa906899e0b158d6f989ace00a109548,26
33169b5aa42eea9dc045cb0fbd1aac8a,168
1c57d56adf7785f7d386c522d8f25270,160
3e159ca2bdf07340a4d98d94dd0de032,169
799b6b2657e6f9e22a97eca4d4a31130,165
8684fc9be755f63eec6356d290ab4fa7,90
5971b5e2d899aa3655db07e9426888f6,66
48686b9f0928ed82345288ab24b1f637,71
e9dbd92bf1597fa3021af6c769ea39d4,6
664e0dad2a481033a181dcc4925c4a0d,7
9a61067120d7f5709d8700505072607b,2
a0a716358b1ea21c2ce0cbce7af63f45,25
ecda31b286580e36450d0fff4988c8c9,85
01a33a82ed461ef299a2aa902fd9e2c9,44
5e9ed72c9fdc37a36d360599f7821505,24
55c4a30646fc1571856bcbc7487ade1d,4
5ee09868044c367bad6e42b52695ff67,26
af2196d15c8c136754ad3bf5e1a8702d,26
6b8a484698c909ab6da1bb2aa496c9d8,26
323b182056b377505defb78ec7b5e261,37
9dbf2d6fc3c62324568ba886e4c01a67,56
e2fea549051ff7e452ae5ffc87c79695,108
3c5ec34101160c48afb3dca9c0fb0328,107
0fdb1b63b93a895eea9db7f8863975fb,107
90a6ff64a5f81a48717aa30a09181953,212
1a3da1bd77d932a2f4609383a0166a06,107
88c1233560b79d20a7f119425f0bc7f2,107
f60efa36803b23ad4ced115250918f93,52
2e8f21ef46399b41ca2eefc16bff10df,54
9dd9e2b9c234beb2a64b4dd324abff52,55
cc1568c3c09fe2c86e6c16ada6dc8a18,6
13ef00b3b019cb76cc0ed32e5f47faf6,111
0d6ea4589c14edb13a1d5487bcfe4bbb,-1
7f080707f0391899862f280ed785fa7e,111
a719d1ef1f284f0d8e25fdbd479eefa8,184
3c186c3cbd1aeb9bdf5a59599808df85,45
14e109ef49875c739d32eec5ff7d46e6,8
fa60d8e6e420583540789b09305943bc,70
a63c9091b95379a22ba9049e19a83913,55
74926398161d1395fef0eeb7bef01cac,28
540f8a40e7f8de1a65f0acfd81b99302,65
c827dd99b9deb6775c9c157cc310519b,107
752d95e5026bd37a2a98de2b8d449423,142
d0f1e23cf6e1b6c4dbb5579a48636844,98
0b273918363f52ad4b3230640deaa26f,142
5405796d44e602a5f1fa7571e075c5ec,152
ca10fce5dfd21222d55cbf2741db1052,217
056f741ab4ff543fd92ac2b71e959334,205
837ef973d764f044025554b82f7fc334,153
6153b14b484a92b12aff5de09c2d3e23,151
53b9d5d35b3ca7f15780a83020c6a0b9,208
e255e222f538ba456ce8e4c39af90523,-1
a45c0dfd77553cf466546d8f42f2d34a,146
1325959798a5e99dcdbe96ca24ac2a98,169
297e96631d83b848b823ce3583895483,-1
f5c31ddbd13e3967580bb38c229f3acb,138
0560c14bbd0d9aa2ae8e909b8ade3a63,185
9e59028811c5f290d09d9398b92252a1,169
3fd8de27c5542e3566fb4aa71b36cc8b,153
9869b36792269203c3f1eca342a05a75,-1
0c572eb479bb760ee21c9312d94fb065,142
d341f239b325a4d562f5c56079f0bc79,161
659f1c814823b16eb949905b77a1a198,163
c7fbdb036c146c75c31bf4e6f7086196,151
48d47b9238eec5079758e71e45a9c136,114
4bf6e3b6bb71d3a40d121b316c0cf899,146
e643939c01d37929f17bc95c9e594b21,-1
39e9b820f452278d99240ee44b446887,-1
c39acbb5ebd37c22160aaf22b77dc308,178
112aae9517986b5ebb740b2c4fbd4992,95
852c11513dfc6e810c24530d82357c4f,-1
ef7cebcd2d0cb05aa593bca0ff8fa716,199
2b9123975e4ab136cc86e459c540cceb,80
306d0e96cb4208d67d4f40b1533c0b6b,43
a72e474b65dde9f20c72f3831291354c,37
a92003b689b96635b2df17664b086c4d,12
c2ae89bad1bc3dbcf8b7c787e2502b91,155
425283152a3d79c0a2dce61da76b36cb,74
347efefc2fa924b5274af5d8431b629b,177
6f388f1ceb7f6dde8cbeef2b1da4d61f,80
8be33beca308b64af24cedd72f9241f1,52
1ffe4c043895fb30099e1abc758c3e52,30
2e805e46eb01bcae9fc0c28d38e62842,182
0bf3c5e0e938b2763ecf892720837c42,48
5a449bd2fb25750bb2f2c9dc183b2bd3,60
22f60a6244e35bbb54e4a7549b16de1b,83
def076a0de885bcca40b296ae70e5e91,198
3ea77aeae0cceaea2fa8442cf4ed4520,189
a54a1a4fe48fa047b2593bfc3c4e3c97,32
9c3341e9b13aa4353d9a6d215849d986,133
2a34b51010a434b99ec66a031881d767,-1
46079b159c82b07b2cb5e5c9278e0a78,103
0d1e78bff17d1f863f932448b675a01f,221
69331c169574dde278971ded3515d6c0,195
ec1d811aa346e584c1c66eeadd34a413,112
efedea1e9327e3f457826b434d031074,150
69a89bc49bab11b091634d365c3a41df,219
e206642912c538bbde3f35cec40563cb,188
139693db77b68aa331c77a209e7cf5b8,188
0acfb3881c75d3e6a5a3d910beaac6a8,112
25702edec8b20c3e47a47da33759215e,20
eef619bc0b698e02cd122b0de46d5fe9,51
87e31f43a68ab8e3a5847802d3499bd9,29
ba581e842aaf7833f948eb3bdecb6c43,40
8ed969fefa0922a6b38d6a9ed7c20d3b,-1
67570b57ae4489b8b830bebda0b0e637,177
4375d38cf72bd1b9161a835b750ec074,164
b2d23288ff0972123a68769dd30727eb,161
1bece19a78aa1e4bc6a60f8f3a586d8f,149
7d81225441b91a2be2cc4758d21b2df3,146
2a6402529b9ab4e9d4b5d1f7d5df5f95,75
a3f81d5721ed7b92041753e0069e997b,165
3d115ae60fa201a4179b160a3239572e,146
298ef4dafe1cc632a11b4c035c13f50b,-1
1260a92f82737a0cf4dc239935118b15,69
9444569763784afdc4d71de0edc31cf9,161
6296df3ebe3dc828276d82d709dd809f,147
74563f2b8fcf7bfc003dbc0a16fa820c,149
9726b32f5b63adffb6d86f4e916fc1b4,180
4facfa4eff94ff8fe71e46ee538be561,95
f7d6ad23b43f8db032faca590c6fda89,115
7327aa0d71c9dc29afe5392efa7d4524,115
b07df0447acbd83b271935e7317941c2,213
b308891508d80c642aee491235523151,101
90c957c4b6ffcba4be3168efae142784,83
ae847c1b42d65ab7f81dcf7d76086575,146
e9c71c1a38aca6ff7a9e769727735d16,101
14a13191d67be9c9683ee0982f96d156,122
e4a0c6bea3bd02cf6d90e7b7583906a2,-1
a3a6ac51cd19226e7d242e678116566d,-1
e107131a591326ae622927e3bc3c0495,56
c9cb6b63130f2106c3923796e5bf206b,60
50ec28a65d25be7d68babb8ccbe20db7,0
4675633aeb3fae02415ae47b6cdc2f61,86
0d0efb2e432572e712ce0a792a577f30,9
c524e882b4240a6057da893582ead6b9,115
3d3e8ec846802ff973ea797cb85a8a32,115
0c11ca56cf53eb84afbed0e00af389ab,115
8b660cb351b4d1e80c17f8a307818f6e,167
baa2d2366f5bb5b8e0ea7571c4af710b,177
2922d48ff827eb606ab8250dbbd2c777,-1
e144efadd0d1aa58a3e8b0b0744e614a,147
68f55bb69b0718a483db51c65c32d24f,132
716adf44b9ab49e3c1b1b51cacd7f320,198
347102e3b40ba6721b1312b6197420b5,132
39615d5ce0a195d69403b70882256f4e,132
e9c9d060c3a946c1e31a4ce2d91c12b6,221
97325d1266aa03ebc783ea4a645887c5,132
0394d7993607a4e8d66a2d7ab886ab14,-1
28d0b68263ee0312e85520340678c58a,187
164d1ed6d28245bef2b84e39c770738c,132
3cef93d23ea7a4d90500751983a7fc97,-1
b11566cf8d9629e3bac8862a6da7014a,203
ff89e2ca23d004f3076c0bff6dbc4e27,204
6133af2456dd715f0fee07e97889b645,-1
bb3861e6f75b219dc309d1d82e1b1825,183
43aaab35a827d1ac4aab6eb820dd9d3f,201
a02bb6265e3ff94705c555444e48989d,156
c65e51b317d79bbb6cba5e828516174b,178
fe5e99cf734f39ac7659106664ef5e0a,1
e5763e76d689659be63b7865507b9711,158
